Num	Gene_ID
566	ENSG00000113712
567	ENSG00000113721
568	ENSG00000113732
569	ENSG00000113790
570	ENSG00000114054
571	ENSG00000114113
572	ENSG00000114115
573	ENSG00000114200
574	ENSG00000114268
575	ENSG00000114302
576	ENSG00000114480
577	ENSG00000114491
578	ENSG00000114573
579	ENSG00000114738
580	ENSG00000114770
581	ENSG00000114771
582	ENSG00000114902
583	ENSG00000114904
584	ENSG00000114923
585	ENSG00000114956
586	ENSG00000115020
587	ENSG00000115085
588	ENSG00000115159
589	ENSG00000115170
590	ENSG00000115241
591	ENSG00000115275
592	ENSG00000115286
593	ENSG00000115350
594	ENSG00000115361
595	ENSG00000115419
596	ENSG00000115425
597	ENSG00000115488
598	ENSG00000115526
599	ENSG00000115556
600	ENSG00000115616
601	ENSG00000115652
602	ENSG00000115657
603	ENSG00000115661
604	ENSG00000115677
605	ENSG00000115694
606	ENSG00000115705
607	ENSG00000115758
608	ENSG00000115825
609	ENSG00000115840
610	ENSG00000115850
611	ENSG00000115866
612	ENSG00000115884
613	ENSG00000115902
614	ENSG00000116039
615	ENSG00000116096
616	ENSG00000116106
617	ENSG00000116120
618	ENSG00000116133
619	ENSG00000116157
620	ENSG00000116171
621	ENSG00000116199
622	ENSG00000116337
623	ENSG00000116353
624	ENSG00000116459
625	ENSG00000116649
626	ENSG00000116704
627	ENSG00000116711
628	ENSG00000116748
629	ENSG00000116761
630	ENSG00000116791
631	ENSG00000116906
632	ENSG00000116981
633	ENSG00000117054
634	ENSG00000117118
635	ENSG00000117143
636	ENSG00000117215
637	ENSG00000117305
638	ENSG00000117308
639	ENSG00000117394
640	ENSG00000117410
641	ENSG00000117411
642	ENSG00000117448
643	ENSG00000117450
644	ENSG00000117461
645	ENSG00000117479
646	ENSG00000117528
647	ENSG00000117592
648	ENSG00000117594
649	ENSG00000117650
650	ENSG00000117682
651	ENSG00000117984
652	ENSG00000118017
653	ENSG00000118046
654	ENSG00000118276
655	ENSG00000118363
656	ENSG00000118402
657	ENSG00000118515
658	ENSG00000118520
659	ENSG00000118705
660	ENSG00000119013
661	ENSG00000119227
662	ENSG00000119392
663	ENSG00000119408
664	ENSG00000119414
665	ENSG00000119421
666	ENSG00000119514
667	ENSG00000119523
668	ENSG00000119537
669	ENSG00000119638
670	ENSG00000119640
671	ENSG00000119673
672	ENSG00000119689
673	ENSG00000119711
674	ENSG00000119723
675	ENSG00000119899
676	ENSG00000119938
677	ENSG00000120053
678	ENSG00000120129
679	ENSG00000120137
680	ENSG00000120156
681	ENSG00000120253
682	ENSG00000120254
683	ENSG00000120329
684	ENSG00000120437
685	ENSG00000120539
686	ENSG00000120697
687	ENSG00000120820
688	ENSG00000120875
689	ENSG00000120910
690	ENSG00000120915
691	ENSG00000120992
692	ENSG00000121039
693	ENSG00000121053
694	ENSG00000121578
695	ENSG00000121579
696	ENSG00000121691
697	ENSG00000121769
698	ENSG00000121851
699	ENSG00000121879
700	ENSG00000121900
701	ENSG00000121989
702	ENSG00000122126
703	ENSG00000122218
704	ENSG00000122390
705	ENSG00000122643
706	ENSG00000122678
707	ENSG00000122729
708	ENSG00000122787
709	ENSG00000122824
710	ENSG00000122863
711	ENSG00000122884
712	ENSG00000122971
713	ENSG00000123130
714	ENSG00000123143
715	ENSG00000123374
