Num	Met_ID	Met_name
333	m00183p	(S)-hydroxyoctanoyl-CoA
334	m00184c	[ACP]
335	m00192c	[phosphorylase A]
336	m00193c	[phosphorylase B]
337	m00196c	[protein]
338	m00197c	[protein]-L-arginine
339	m00198l	[protein]-L-asparagine
340	m00198r	[protein]-L-asparagine
341	m00199c	[protein]-L-citrulline
342	m00204c	[protein]-L-lysine
343	m00204n	[protein]-L-lysine
344	m00205g	[protein]-L-serine
345	m00205l	[protein]-L-serine
346	m00205r	[protein]-L-serine
347	m00206c	[protein]-L-tyrosine
348	m00211c	[protein]-N6,N6,N6-trimethyl-L-lysine
349	m00211n	[protein]-N6,N6,N6-trimethyl-L-lysine
350	m00211r	[protein]-N6,N6,N6-trimethyl-L-lysine
351	m00212c	[protein]-N6,N6-dimethyl-L-lysine
352	m00212n	[protein]-N6,N6-dimethyl-L-lysine
353	m00213c	[protein]-N6-methyl-L-lysine
354	m00215c	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine
355	m00218c	[protein]-tyrosine-phosphate
356	m00219c	[pyruvate dehydrogenase (acetyl transferring)]
357	m00220c	[pyruvate dehydrogenase (acetyl transferring)]-phosphate
358	m00223c	1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine
359	m00228c	1,1-dichloroethylene
360	m00228s	1,1-dichloroethylene
361	m00229c	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal
362	m00233c	1,2-diacylglycerol-bile-PC pool
363	m00234s	1,2-diacylglycerol-chylomicron pool
364	m00235c	1,2-diacylglycerol-LD-PC pool
365	m00236c	1,2-diacylglycerol-LD-PE pool
366	m00236r	1,2-diacylglycerol-LD-PE pool
367	m00237c	1,2-diacylglycerol-LD-PI pool
368	m00238c	1,2-diacylglycerol-LD-PS pool
369	m00239c	1,2-diacylglycerol-LD-SM pool
370	m00240c	1,2-diacylglycerol-LD-TAG pool
371	m00240n	1,2-diacylglycerol-LD-TAG pool
372	m00241s	1,2-diacylglycerol-VLDL pool
373	m00242c	1,2-dibromoethane
374	m00242s	1,2-dibromoethane
375	m00243c	1,2-dihydronaphthalene-1,2-diol
376	m00245c	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one
377	m00247c	1,3-bisphospho-D-glycerate
378	m00248c	1,3-diaminopropane
379	m00252c	10,11-dihydro-12-epi-LTB4
380	m00252m	10,11-dihydro-12-epi-LTB4
381	m00252p	10,11-dihydro-12-epi-LTB4
382	m00253c	10,11-dihydro-12-oxo-LTB4
383	m00253m	10,11-dihydro-12-oxo-LTB4
384	m00253p	10,11-dihydro-12-oxo-LTB4
385	m00254c	10,11-dihydro-12R-hydroxy-LTC4
386	m00254m	10,11-dihydro-12R-hydroxy-LTC4
387	m00254p	10,11-dihydro-12R-hydroxy-LTC4
388	m00255c	10,11-dihydro-20-dihydroxy-LTB4
389	m00256c	10,11-dihydro-20-trihydroxy-LTB4
390	m00257c	10,11-dihydro-LTB4
391	m00257m	10,11-dihydro-LTB4
392	m00257p	10,11-dihydro-LTB4
393	m00257r	10,11-dihydro-LTB4
394	m00258c	10,11-dihydro-LTB4-CoA
395	m00258m	10,11-dihydro-LTB4-CoA
396	m00258p	10,11-dihydro-LTB4-CoA
397	m00258r	10,11-dihydro-LTB4-CoA
398	m00259c	10,11-epoxy-(4Z,7Z)-hexadecadienoic acid
399	m00260c	10,13,16,19-docosatetraenoic acid
400	m00260s	10,13,16,19-docosatetraenoic acid
401	m00261c	10,13,16,19-docosatetraenoylcarnitine
402	m00261m	10,13,16,19-docosatetraenoylcarnitine
403	m00261r	10,13,16,19-docosatetraenoylcarnitine
404	m00262c	10,13,16,19-docosatetraenoyl-CoA
405	m00262m	10,13,16,19-docosatetraenoyl-CoA
406	m00262r	10,13,16,19-docosatetraenoyl-CoA
407	m00263c	10,13,16-docosatrienoylcarnitine
408	m00263m	10,13,16-docosatrienoylcarnitine
409	m00263r	10,13,16-docosatrienoylcarnitine
410	m00264c	10,13,16-docosatrienoyl-CoA
411	m00264m	10,13,16-docosatrienoyl-CoA
412	m00264r	10,13,16-docosatrienoyl-CoA
413	m00265c	10,13,16-docosatriynoic acid
414	m00265s	10,13,16-docosatriynoic acid
415	m00266c	10-formyl-THF
416	m00266l	10-formyl-THF
417	m00266m	10-formyl-THF
418	m00266s	10-formyl-THF
419	m00267c	10-formyl-THF-glu(5)
420	m00267l	10-formyl-THF-glu(5)
421	m00267m	10-formyl-THF-glu(5)
422	m00267s	10-formyl-THF-glu(5)
423	m00268c	10-formyl-THF-glu(6)
424	m00268l	10-formyl-THF-glu(6)
425	m00268m	10-formyl-THF-glu(6)
426	m00268s	10-formyl-THF-glu(6)
427	m00269c	10-formyl-THF-glu(7)
428	m00269l	10-formyl-THF-glu(7)
429	m00269m	10-formyl-THF-glu(7)
430	m00269s	10-formyl-THF-glu(7)
431	m00270c	10-HETE
432	m00274c	10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide
433	m00274r	10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide
434	m00276c	11,12,15-THETA
435	m00277c	11,12-DHET
436	m00278c	11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate
437	m00279c	11,12-EET
438	m00280c	11,14,15-THETA
439	m00286m	11-carboxy-alpha-chromanol
440	m00287m	11-carboxy-alpha-tocotrienol
441	m00288m	11-carboxy-gamma-chromanol
442	m00289m	11-carboxy-gamma-tocotrienol
443	m00290c	11-cis-retinal
444	m00291c	11-cis-retinol
445	m00296c	11h-14,15-EETA
446	m00297c	11-HETE
447	m00305c	12(13)-EpOME
448	m00305r	12(13)-EpOME
449	m00307c	12(S)-HETE
450	m00309c	12(S)-HPETE
451	m00309p	12(S)-HPETE
452	m00309r	12(S)-HPETE
453	m00309s	12(S)-HPETE
454	m00310c	12,13-epoxy-(6Z,9Z)-octadecadienoic acid
455	m00314c	12,13-hydroxyoctadec-9(z)-enoate
456	m00314r	12,13-hydroxyoctadec-9(z)-enoate
