Num	Met_ID	Met_name
178	m00107m	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
179	m00107r	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
180	m00108c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
181	m00108m	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
182	m00108r	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
183	m00109c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine
184	m00109r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine
185	m00110c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
186	m00110p	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
187	m00110r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
188	m00111c	(6Z,9Z,12Z,15Z,18Z)-TPA
189	m00111r	(6Z,9Z,12Z,15Z,18Z)-TPA
190	m00111s	(6Z,9Z,12Z,15Z,18Z)-TPA
191	m00112c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine
192	m00112r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine
193	m00113c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
194	m00113p	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
195	m00113r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
196	m00114c	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
197	m00114r	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
198	m00114s	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
199	m00115c	(7Z)-octadecenoic acid
200	m00115s	(7Z)-octadecenoic acid
201	m00116c	(7Z)-octadecenoyl-CoA
202	m00116m	(7Z)-octadecenoyl-CoA
203	m00116r	(7Z)-octadecenoyl-CoA
204	m00117c	(7Z)-tetradecenoic acid
205	m00117r	(7Z)-tetradecenoic acid
206	m00117s	(7Z)-tetradecenoic acid
207	m00118c	(7Z)-tetradecenoyl-CoA
208	m00118m	(7Z)-tetradecenoyl-CoA
209	m00118p	(7Z)-tetradecenoyl-CoA
210	m00118r	(7Z)-tetradecenoyl-CoA
211	m00119c	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
212	m00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
213	m00119r	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
214	m00120c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
215	m00120m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
216	m00120r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
217	m00121c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
218	m00121m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
219	m00121r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
220	m00122c	(8Z,11Z)-eicosadienoylcarnitine
221	m00122m	(8Z,11Z)-eicosadienoylcarnitine
222	m00122r	(8Z,11Z)-eicosadienoylcarnitine
223	m00123c	(8Z,11Z)-eicosadienoyl-CoA
224	m00123m	(8Z,11Z)-eicosadienoyl-CoA
225	m00123r	(8Z,11Z)-eicosadienoyl-CoA
226	m00124c	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
227	m00124m	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
228	m00124r	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
229	m00125c	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
230	m00125m	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
231	m00125r	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
232	m00126c	(9E)-octadecenoylcarnitine
233	m00126m	(9E)-octadecenoylcarnitine
234	m00126r	(9E)-octadecenoylcarnitine
235	m00127c	(9E)-octadecenoyl-CoA
236	m00127m	(9E)-octadecenoyl-CoA
237	m00127r	(9E)-octadecenoyl-CoA
238	m00128c	(9E)-tetradecenoic acid
239	m00128r	(9E)-tetradecenoic acid
240	m00128s	(9E)-tetradecenoic acid
241	m00129c	(9E)-tetradecenoyl-CoA
242	m00129m	(9E)-tetradecenoyl-CoA
243	m00129r	(9E)-tetradecenoyl-CoA
244	m00130c	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine
245	m00130r	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine
246	m00131c	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
247	m00131p	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
248	m00131r	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
249	m00132c	(9Z,12Z,15Z,18Z)-TTA
250	m00132r	(9Z,12Z,15Z,18Z)-TTA
251	m00132s	(9Z,12Z,15Z,18Z)-TTA
252	m00133c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine
253	m00133r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine
254	m00134c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
255	m00134p	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
256	m00134r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
257	m00135c	(9Z,12Z,15Z,18Z,21Z)-TPA
258	m00135r	(9Z,12Z,15Z,18Z,21Z)-TPA
259	m00135s	(9Z,12Z,15Z,18Z,21Z)-TPA
260	m00138r	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
261	m00139r	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
262	m00140r	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
263	m00141l	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine
264	m00142g	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
265	m00143g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)
266	m00144g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)
267	m00145g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)
268	m00146g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)
269	m00147g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)
270	m00148g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)
271	m00149g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)
272	m00150g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)
273	m00151g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)
274	m00151r	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)
275	m00152g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)
276	m00153g	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
277	m00153r	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
278	m00154r	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1
279	m00157c	(R)-3-hydroxybutanoate
